TweetsCleaned,Category,Support
palestine liberated qur sorry communist,Neutral,1
also since talking evidence read un human watch doctor without border etc think pro palestine spam see based uhh cap lock twitter post tiktoks german,Neutral,0
british fm cameron joined israeli fm eli cohen visit kibbutz eri one hardest hit world leader need see atrocity hamas eye understand israel fighting terrorist organization worse isi,Negative,1
understand gaza bombed understand depth national trauma israel going right image hostage hanging every corner every street every party every ideological movement died agenda alive bringing back hostage exterminate hamas matter price reason october able happen israeli started trust gazans trust shattered outrageous way possible imagine starting trust enemy use trust kill daughter kidnap mother think israeli ever accept forgive forget trust destroyed never seen people community emotionally battered israeli right feel sadness grief air breathe jerusalem tel aviv also moved much israeli love nation people far go people moved also jealous october swedish tragedy would take swede le day start organising rainbow anti hate protest israeli hand know well negotiate terrorist,Negative,1
breaking israel syria alleged idf strike damascus syria,Neutral,1
hard zionist understand israel dont want two state solution stop palestine doesnt exist anymore end peace wake real life people dying land stolen house destroyed,Negative,0
coverage forgot mention baby died israel siege al shifa hospital survivor,Neutral,-1
wonder many racist coward work government wish ny could grab kebab egyptian brother,Negative,0
israel murdered another palestinian journalist entire family muhamoud sabbah lost member family jabalia north gaza gaza palestine,Negative,1
scotland celtic football club fined fan waved palestinian flag champion league match amid israel war gaza,Neutral,1
israel kill pregnant woman embryo gaza,Negative,1
vain govt precedent set use ema real violence real incendiary blockade free palestine rally need remember,Negative,1
palestinian food water electricity fuel health care internet peace provided israel wanted war bit hand fed war get use child human shield freedom fighter beg mercy,Positive,1
gotten many angry denial people right left refuse believe biden anything israel hamas hostage exchange deal despite depth reporting detailing heavy involvement utter inability correct one prior,Negative,1
pier morgan x andrew tate discus palestine israel,Neutral,1
ceasefire hostage deal israel hamas reportedly delayed tomorrow till least friday possibly longer,Neutral,-1
ignore spelling error literally deathbed bathroom floor,Negative,1
instead calling israel exercise restraint albanese government might better served calling hamas surrender international court justice face war crime trial atrocity october,Neutral,1
وقت دعا ہے طوفان gazaunderattack palestine freepalastine searchthetruth,Neutral,1
shalom itai shalom israel euapoioisrael istandwithisrael,Neutral,-1
israel destroys house al shaout camp rafah head resident south gaza strip gaza israel israeliterrorists israelisaterrorist freepalestinefromisraeinow israelinewnazism,Negative,1
love katya lgbt person feel iffy comment believe nice stand right transgender woman know better palestine like u lgbt wish role model get involved politics cuz divide u,Positive,1
bfr dish least century older israel,Neutral,1
alone destroy legitimacy israel attack gaza,Negative,1
people gaza desperately waiting morning take breath nonstop bombing check loved one many still know ceasefire meanwhile israel continues genocidal violence strip,Neutral,1
day since man told sleep well told israel killed member family including child moment pas without remembering word still believe said word,Negative,1
watch son hamas founder israel fails gaza u west next thought jump live discussion space,Neutral,1
like israel blew hospital killed civilian,Neutral,1
people speaking palestine raping murdering woman child,Negative,1
beyond parody deeply entrenched realm nonsense arrived via trail antisemitism israel would happy agree ratio terrorist,Neutral,-1
message moron wave israeli flag without even knowing israel zionism stand basic knowledge using laptop iphone search gaza zionist butcher child people,Neutral,1
second time zionist beef wednesday,Neutral,0
son hamas founder israel fails gaza u west next,Neutral,-1
despite israeli terrorism palestine criminal silence country seeking peace show hypocrisy,Positive,0
hearing take place january let abominable repression silence u keep fighting palestine free jordan river mediterranean sea,Neutral,0
ashamed people called value west people palestine alone friend believe gazagenocide gaza israel israelpalestinewar,Neutral,1
let clear former anc cadre member parliament vouch fact bd absolutely crucial bringing end apartheid south africa crucial ending apartheid occupation genocide palestine bdsnow,Neutral,1
kid today fighting tank planting explosive bare hand israel kill kid without even flinching like pharoah killed child fearing would revolt,Negative,1
oppressed hopeful child gaza international child day israel hamas palestine gaza qatar mia khalifa indonosea,Neutral,1
even wartime netanyahu justice min yariv levin indefinitely preventing seating supreme court chief justice thus holding judicial reform tore israel apart threatened system government,Positive,1
within year eliminate video israel public broadcaster child singing gaza caused backlash online including among many israeli,Neutral,-1
amanpour speaks need open school hospital think relevant ask fact hamas using civilian hospital terror activity israel using fuel purpose disappointing,Negative,0
israeli education minister yoav kish blame war criminal ehud barak damage barak israel war effort interview foreign medium unfathomable intend help least avoid causing damage stop genocide,Negative,1
analysis israel releasing woman child part ceasefire deal israel holding child hostage many child held asking neither,Neutral,1
dr mads gilbert agent hamas proven liar nothing say credibility israel found terror complex shifa swore exist saw hostage shifa said never happened vile terrorist,Neutral,1
jamais il n existé un état ou un pay arabe souverain appelé palestine sur la terre israël j usqua l apparition de l assassin arafat égyptien en la palestine toujours désigné la terre du peuple juif,Positive,0
tubbo year old one island listens phil,Neutral,1
jerusalem judea samaria israel homeland palestinian people kingdom jordan jordanispalestine,Neutral,1
israel propaganda time gaza conflict face growing skepticism worldwide contradiction misinformation emerge despite effort shape narrative public opinion shift challenging dominant discourse forpalestine gazzeunderattack israel,Negative,0
adamschiff seem aware palestinian semitic people israel white european settler colonial project palestine zionism messianic death cult repadamschiff clearly drinking much empire kool aid,Neutral,1
israel bombed parent brother sister death gaza al naseerat camp,Negative,1
juvecide juvenile massacre child genocide whatever f israelisgenocidalstate israel palestine,Neutral,1
may know student conservative paper published following based anonymous student report victim history nearly three week since episode alleged perpetrator recognizable victim fellow student israel side,Negative,1
bravery invented palestine,Neutral,1
day january goliath taunted israel day jesus fasted day desert flood lasted day moses mt sinai day elijah flees jezebel travel day lot still happen next day,Neutral,1
seems like standard thing fathom someone would defend israel action palestinian go international law want admit refuse let international organization gaza thing saving u,Neutral,1
byzantine wall christian trapezoynta invaded occupied islam massacred sent exile child remain christian denial since flatten gaza immediatelly israel,Neutral,0
year ago know something called educating till recent piece evidence supporting israel immediately slam something may may learnt,Neutral,1
many u citizen live israel gaza wider region many dual citizen deeper story wonder folk domestic terrorist garland wray wray warned u done sick played,Negative,1
may israel launch airstrikes gaza killing people including many civilian november prime minister benjamin netanyahu announces plan annex part west bank violation international law,Negative,1
swedish prime minister ulf kristersson incredible freudian slip sweden eu stand united israel right genoci mean self defense,Positive,1
bbc journalist rebelled corporation failure humanise palestinian revealing policy using term like massacre refer hamas israel strong insinuation behind scene racism coverage,Negative,0
well israel attack us liberty killed usa sailor nothing done idea sink ship blame egypt order get usa war,Negative,0
father unbearable watch human day age seeing certainly standing israel perpetrating,Neutral,1
check huge corey perry different card lot rc duck star w n ebay via ebay israel gaza hamas asiangames steve cohen klaus schwab tel aviv nebraska palestinian kansa state otev lido smackdown isle hockey nhl mlb nfl nba,Neutral,1
first terrorist israel rather america support genocide indigenous people palestine,Neutral,-1
sprout brawlstars brawlstarsart,Neutral,-1
reason ever military arrest child israel hundred time year palestinian minor imagine u army taking year old military prisoner need talk israel corrupt psychopathic military culture,Negative,1
israel first already talking sending billion ukraine,Neutral,1
world simply gone mad day break feed water people gaza going back carpet bombing absolute madness,Negative,-1
give job,Neutral,-1
welcome release hostage including american captivity gaza thank qatar egypt partnership appreciate israel support humanitarian pause allow additional humanitarian aid reach palestinian gaza,Positive,1
free palestine,Positive,0
stupid argument lol israel bomb gaza point inhabitable rubble resulting thousand civilian death there one point finger except israel,Negative,-1
important moron advocating palestine annoying nerd get correctly dunk,Negative,1
israel bomb ambulance know beyond evil,Negative,0
breaking israel arrested director al shifa hospital,Neutral,0
reminder ceasefire happen stop talking palestine remember israel history breaking ceasefire long israel exists palestinian free,Neutral,0
absolute nonsense israel constant micro scrutiny palestinian allow verification scrutiny wonder,Neutral,0
understand hamas must eradicated israel diaper force also eradicated also since committed far bigger crime count intensity continue since year irrationality narrative beyond,Negative,1
sharrenhaskel member knesset join tvp world talk israel war terror 𝗪𝗮𝘁𝗰𝗵 𝗶𝘁 𝗵𝗲𝗿𝗲,Negative,1
one intended objective israel decimating hospital gaza could longer go thorough process used doctor count document dead succeeded,Neutral,0
never forget say free palestine,Neutral,1
mri today tell see hamas also petition ceasefire israel already broken agreement make happen probably,Neutral,1
brawlstars brawlstarsart brawlstarseve school рисовал её в школе,Neutral,-1
un relief team stand ready ramp aid gaza amid ongoing negotiation implementation israel hamas truce wfp warns rising hunger rapidly mobilizing scale assistance access enclave granted,Positive,1
must raise voice child lost parent israeli air strike home,Neutral,0
apartheid israel dome rock wherein non muslim allowed pray provide proof visited gaza post literally left argument wide open defeated,Negative,1
yet another reminder another layer horror living gaza could get sleep living tent sound,Negative,1
breaking labour official admits contacting every councillor country request public support israel man,Positive,1
saudi arabia stop exporting weapon israel arabic crown prince mohammed bin salman call country stop exporting weapon ammunition israel way achieve security stability palestine state solution east jerusalem capital,Neutral,1
free palestine,Positive,0
think israel could handle differently change fact hamas started war next one holding responsible fact many people say justified raping murdering woman child resistance,Negative,0
print hamas statement without question use word claim israel present video evidence fuck,Negative,1
breakfast exist thanksgiving starve dinner ready,Neutral,-1
susan sarandon dropped talent agency uta vocal ongoing genocide happening palestine pro palestinian rally source deadline,Neutral,1
think hamas israel conflict impact president trump chance presidential election,Neutral,0
one one hand genuinely shocking repellent cretin serious job obama national security apparatus working israel palestine issue hand actually make perfect sense consider u policy decade,Positive,0
think enha need actual vacation fun anything constantly camera face need kind vacation sleep hour warm food sleep hour watch tv,Positive,-1
government trying pas bill make criticising israel zionism illegal israel commits genocide bomb gaza smithereens criticise freedom speech kind hypocrisy wake played fool,Negative,0
since oct troubled phrase innocent palestinian many palestinian support hamas cheer destruction israel jew,Neutral,1
social medium user poking fun israel military video claim show evidence hamas meme posing threat israel propaganda strategy,Neutral,1
irish pm leovaradkar sulking irish parliament complaining israel listen ireland well leo holly expect u think bizarre fixation away ireland perceived israel relentlessly pro palestinian mired self delusion neutrality nobody else see understands ireland lecturing u decade pursue middle eastern war fighting survival islamist enemy understand never faced ireland funding unrwa hamas exploit terrorism voted interest expression sympathy people every international forum eu un u get also mean stopped regarding honest objective party geopolitics conversation one put mute tuned best ireland come regarded irrelevancy israeli curious obsessed u word policy vote carry consequence israelireland geopolitics,Negative,1
انا للہ و انا الیہ راجعون stop human genocide gaza palestine,Neutral,0
condemned israel done pretend feel sad palestinian killed calling killing,Negative,1
sorry idf continues get worse worse propaganda tunnel built israel hamas tunnel captured hamas operating tunnel bombing civilian home,Negative,1
blame hamas action israel murdered thousand innocent people example hit face entirely decision smack mom child cousin friend neighbour retaliation would fault self defense,Negative,1
borat empty abandoned tunnel likely one israel built enough compromise hospital protected status prove used war military purpose still sprawling hamas command control centre,Negative,0
pause killing child need end killing child need snp westminster leader stephenflynnsnp urge rishisunak call ceasefire gaza recognise state palestine,Negative,-1
irony thick breathe,Neutral,0
presumed everyone knew tunnel al shifa hospital built israel apparently,Neutral,1
israel major terrorist state,Negative,1
blame world hate israel israelisgenocidalstate,Negative,1
thanksgiving intensely grateful non jew life world shown deep level compassion love solidarity israel jew around world made dark time much better,Positive,1
israel bombed many bakery woman gaza started building traditional clay oven people adapt,Neutral,1
classic cognitive dissonance palestinian forcibly removed palestine jew occupied country list,Neutral,1
palestine send money israel rocket form,Neutral,1
condemn apartheid discriminatory genocidal zionist regimw israel illegally occupied palestinian land abused murdered year impunity action gave rise hamas,Negative,-1
rinse repeat rhetoric israel fighting existence force hate barbarism terrorism know much agenda told unite unison matter citizen request,Negative,1
bro think stupid dont know domain work,Negative,1
bro number guy,Neutral,1
israel home jewish people,Neutral,-1
fearless south africa go hard israel next,Neutral,1
used one number one favorite comedian seemed like free palestine first girl idk told uninformed hold hamas idf regard yea bc hamas cause damage idf wanted,Positive,1
may allah bless innocent people palestine,Positive,1
creating zone free nuclear weapon middle east interest country foreign ministry spokeswoman tell anadolu russia say recorded türkiye signal verifying israel possession nuclear weapon v aa com tr,Positive,1
shehusani senator nigeria stop killing southern kaduna state actbrigitte israel mikepompeo whitehouse realdonaldtrump passportcan australia switzland watch tomorrow pretend like holy angel emigrate,Negative,1
south african parliament decision cut diplomatic tie apartheid israel reminded country white minority rule tricameral black potentate anymore may felt way since eff presence parliament allow anc turn back history black condition never forgot true friend democracy liberation know israel one israel would preferred afrikaner apartheid perfect separate development know whole world imposed sanction afrikaner apartheid israel state whole world never cut tie apartheid regime israel continued trade even arm apartheid regime subjecting hundred thousand school child detention without trial killing torturing thousand moreover idea south africa apartheid brought end peaceful negotiation dishonest pure historical revisionism illusion even lie make party like da ifp resist international isolation israeli apartheid afrikaner apartheid regime forced kicking screaming table negotiation boycott international isolation apartheid boycott divestments sanction battle cuito cuanavale internal resistance included stayaways sabotage mass demonstration reason de klerk chose path negotiation unbanning liberation political party first democratic election violent confrontation anc ifp led death war future south africa therefore negotiation took place thousand dead black body political freedom gift peace came unacknowledged war painful past israel chose wrong side chose side white minority murderous apartheid regime justice peace fotsek south africa,Negative,1
feel intensity power video,Neutral,1
delayed temporary ceasefire israel carpet bombing gaza strip israeliwarcrimes,Neutral,1
furthermore hamas massacre october hamas terrorist sought refuge within hospital taking hostage israel pathological report also confirmed murder cpl noa marciano hospital premise,Negative,1
folk know israel created hamas cia created isi tunnel run purpose gun running child trafficking welcome,Positive,-1
muslim bedouin home rahat town attacked outside gaza never see medium israeli flag hanging living room arab speaking warmly israel israel built school village made education obligatory vote curse prime minister nothing would happen u like arab country,Neutral,1
palestine human garbage dump arab world year amused watch israel deal trash none gon na take back,Neutral,0
saddest thing october learned people eri kfar aza mercilessly slaughtered pro palestine community israel,Negative,-1
never stop shocked depravity empire friend mine shared article biden administration worried pause fighting allow journalist gaza show israel crime world saying know surprised evil freak somehow still told actually consciously cultivate ability stay surprised thing stop surprised see world powerful people always finding new innovative way make world worse place ordinary human being mean become normalized system way mean top horrible evil inflicted upon world also managed steal important part humanity longer shocked murderousness empire counterintuitive sign something unhealthy happening like body stop shivering sink later stage hypothermia hunger pang go away later stage starvation sign system longer forcefully rejecting condition ought reject instead shifted giving trying conserve energy spend day every day staring ugliest part imperial machine refuse let desensitize monster taken much world refuse let take refuse let rob humanity like see sacred duty keep flame lit know healthy world look like know sanity look like know thing ought naturally find jarring sickness civilization reveals refuse accept normal refuse let abuse empire turn callused jaded husk human respond new monstrosity deep world weary sigh make sure still brings white hot rage make sure still brings white hot tear eye let take let harden heart darken eye got keep flame burning sane healthy world child future generation never meet still finding shocked shaken action ruler healthy sign mean got yet mean succeeded snuffing flame got protect sensitivity cost got maintain visceral rejection madness calling u home calling u home healthy world guide way fight way one small almost insignificant victory time yet snuffed flame today one small win humanity one tiny step toward health,Negative,0
echo head every time post pretty photo instagram story,Neutral,0
true maybe majority palestinian muslim gaza support hamas know know majority palestinian muslim gaza muslim theocrats rejoiced atrocity committed hamas october israel come israel,Positive,1
shush went,Neutral,1
israel built bunker tunnel system beneath shifa hospital hamas responsible rest tunnel gaza guess approve jew warsaw ghetto used tunnel well 𝗨𝗻𝗱𝗲𝗿𝗱𝗼𝗴 𝗿𝗲𝘀𝗶𝘀𝘁𝗮𝗻𝗰𝗲 𝗴𝗿𝗼𝘂𝗽𝘀 𝗮𝗹𝘄𝗮𝘆𝘀 𝘂𝘀𝗲 𝘁𝘂𝗻𝗻𝗲𝗹𝘀 jennifer lawrence used hunger game resist panem,Neutral,1
condemn condemn mom giving birth bitch,Negative,1
weird hamas take hostage israel arrest detains people similarly curious hamas hostage child israeli detainee people age almost like entirety western medium institutionally racist,Negative,1
palestine older france bet palestine resistance probably tried boredom,Neutral,-1
ah yes israel bombing arab neighbour american thousand mile away concerned security,Positive,0
obama israel received u military aid ever billion ten year starting,Neutral,1
country world muslim war conflict palestine muslim work youself,Negative,1
palestinian know israel well predict great confidence wrote tweet many hour ago,Positive,1
check fred frankhouse diamond star psa ex mt brave ebay via ebay israel gaza hamas asiangames steve cohen klaus schwab tel aviv nebraska palestinian kansa state otev lido smackdown isle hockey nhl mlb nfl nba qatar jerusalem,Positive,0
ummm ask stance israel,Neutral,1
n war judith would continue see fiancé alfred marcus friend older brother joel imprisoned detention camp british subject holocaust judith alfred married emigrated israel,Negative,1
zionist becoming desperate syrian conflict created obama hillary clinton destroy syria israel phalangist militia killed palestinian sabra shatila camp lebanon ally israel,Negative,0
former israeli pm ehud barak israel built bunker al shifa hospital,Neutral,1
good realized phrasing left open interpretation incident increase im afraid israel losing public sentiment u getting increasingly desperate one buying bullshit anymore,Negative,1
eeeee oddbods halloween partymonsters redraw fanart art,Neutral,1
free palestine,Positive,1
sorted,Neutral,1
yesterday israel killed three doctor gaza may rest peace,Neutral,1
breaking unicef executive director one million child gaza strip experiencing food insecurity,Neutral,1
death toll israel genocide gaza reached least including child israel war enclave disrupted communication extent impossible provide accurate date data death toll israeli bombardment gaza kill two mother every hour seven woman every two hour report executive director un woman israeli force arrested director al shifa hospital largest medical complex gaza strip along several senior doctor medical staff spokesperson gaza health ministry ashraf al qudra said israel un bear responsibility arrest medical personnel adding israeli force dealt violently medical staff patient temporary ceasefire widely expected go force thursday delayed night due last minute detail captive would released come israel continued non stop bombing gaza ahead truce thousand people sheltering indonesian hospital gaza city reportedly evacuated israeli army ordered everyone inside get indonesian hospital empty volunteer moved school near european hospital rafah said sarbini abdul murad head indonesian medical emergency rescue committee least palestinian occupied west bank detained overnight deadly israeli attack continue israeli force arrested palestinian west bank since october israeli strike southern lebanon killed five people including son mohammad raad head lah parliamentary wing strike come ahead meeting iranian foreign minister hossein amir abdollahian lah secretary general hassan nasrallah beirut lebanon spanish foreign minister josé manuel albares said spain favor recognizing palestinian state short term stating palestinian state best guarantee peace middle east,Negative,0
account cover photo show relative cause look similar show pride beside terrorist yitzḥak shamir leader terrorist gang lehi assasined un delegate palestine swedish folke bernadotte un delegate assasined zionist proud proud beside real terrorist actually israel zionist colony expert turning terrorist prime minister,Negative,1
former u ambassador u n john bolton slammed hamas hostage cease fire agreement bad deal israel,Neutral,1
hezbollah lebanese terrorist party iranian supported terrorist organization lost dozen force various confrontation israel southern lebanon recent week worth noting hezbollah lost approximately quarter force syria free syrian army sent hell past year hezbollah like russian wagner group force resemble everything support,Negative,1
palestinian dual citizenship european western american nationality press charge murder family palestine barbaric israeli please contact anatolium bring international criminal court karma payback ionebelarra,Negative,1
point israel bombing continuing actually stopped even reduced fact clearly cessation bombing israel saying stop bombing yet etc feel goal accomplished warm fuzzies,Positive,0
ceasefire distraction stop talking palestine even approach holiday hard look must keep eye palestine,Neutral,0
including hundred mound rubble palestinian home israel resemble,Neutral,1
free palestine,Positive,1
kaveh genshinimpact 原神,Neutral,-1
antisemite look like look like martin griffith unreliefchief saying cnn situation gaza worst ever seen million people murdered cambodia half million rwanda half million syria,Negative,-1
mother embrace child finding alive hospital following israeli bombardment khan younis city gaza palestine,Positive,1
rachelreevesmp urging hamas release hostage return humanitarian aid mentioning israel govt committing war crime allowing party support ceasefire amendment labourfriendsofwarcrimes,Neutral,1
well israel never fully conquered,Neutral,-1
ben shapiro finally call anti white hatred south africa criticized israel lol,Negative,-1
person palestine relative friend killed imprisoned live occupation life triumph someone nothing lose,Neutral,1
try deflect arab country pick piece israel wrong doings,Neutral,0
israel asks u believe genocide gaza state proven lied time outrageous distortion barefaced lie israel operates still medium platform propaganda well going work ugly truth see,Negative,-1
action powerful body line shut trade israel yes,Positive,1
speechless concern administration unintended consequence pause would allow journalist broader access gaza opportunity illuminate devastation turn public opinion israel,Neutral,0
perhaps recommend med though particularly effective job curbing obsessive hatred jew israel,Neutral,0
proclaiming israel able obtain release hostage cost terrorist de escalation possible mind israel stop hamas destroyed israel political moral duty,Negative,0
melissa barrera recent hour ago continued spread awareness palestine despite fired job seemingly blacklisted stand moral regardless attempt silence respect support courage fucking movie,Positive,0
israel practice right defend,Neutral,1
carrie bradshaw said free palestine wearing keffiyeh top,Positive,1
many others fight death ever forget support israel,Negative,0
every person fired last week political view banned put hire blacklist group banned palestinian defender israel critic happened pro israel advocate even one saying genocidal thing like erase gaza,Negative,1
arab attacked israel accepted two state nakba occurred hamas carried attack october would war chose violence consequence,Negative,1
forgot mention arab lost like aggressor war israel could legally take like land ask prussia part germany anymore,Neutral,-1
clear please unfollow support palestine way thank,Positive,1
much want say clip day watching non stop murder palestine video remains heartbreaking ever father hold dead daughter open eye finger final time know last time look daughter beautiful eye lifelessly stare back smiling ear ear wonder thinking smiling perhaps first moment saw eye born adorable way would call baba sweet voice would wake small bed morning smiling happy memory immensely loved coming one moment heart father beat daughter yet know last time life never moment waiting see panicking taking kiss eye squeeze close chest last time ever well rubbing beard hair arm hang side place wrap shroud final farewell,Positive,0
breaking israel arrested director al shifa hospital,Neutral,1
israel version targeted killing first two year syrian war child estimated represent roughly death iraq since ukraine since invasion gaza represent estimated death,Negative,1
mention israel yet racism bigotry towards jew scale link jew event palestine shameful march anti smetism jew sky rocketed wonder feel safe,Negative,1
yeah fucking nazi spent first six year life dodging nazi bomb liverpool family away fighting nazi corner world one finished german pow camp father torpedoed twice twat like spout crap,Negative,1
even grief palestinian must apologize murdered israel violent oppressive force,Negative,0
like legitimately strongest innovative people earth literally everything taken away every day still find way perservere im really expected israel western govs believe believe ctfu,Positive,0
clare daly dare vonderleyen declare europe stand israel speak speak ireland speak citizen europe stand peace international law justice people palestine time go,Positive,1
palestine country world name letter exist alphabet p arabic name palestine come philistine roman province judea palestina nothing today palestinian,Neutral,-1
u eu still condemn israel still call genocide palestinian,Neutral,1
tax corporate profit total taxation colombia norway mexico australia chile ireland new zealand korea luxembourg canada japan israel türkiye switzerland costa rica netherlands czechia oecd belgium slovakia denmark uk poland sweden spain portugal lithuania austria finland usa germany iceland france slovenia estonia italy hungary greece latvia oecd,Neutral,0
fighting alone democrat want ceasefire democrat support sending weapon israel aipac want make seem fringe support palestinian right simply true defend squad,Neutral,0
said never stain ongoing gaza genocide never removed israel accomplice first among joebiden bundeskanzler following order like gerambtlv kschnurbein vonderleyen rishisunak,Neutral,-1
hezbollah already fired rocket israeli city north hope killing many jew innocent jew possible war israel hezbollah officially begun israel retaliates forget global silence bombarding israel rocket peep israel retaliate israel win thing people bunch snake weasel ball attack wait till hamas enters war attack thing arab every one israel war hit u guess else happened every one war right israel obliterated enemy someone tell hezbollah get ready like hamas end near happens play fire get burned,Negative,0
two lead fake winner giving interview ap know ap stand associated press big biiiig like sky news agency based new york like international academy television know,Positive,1
adding one strange dynamic u hostage perceived right wing issue israel opposite family protesting netanyahu care life protest family brought deal ceasefire,Neutral,1
capitalism fucking suck hypothetically get hit car walk afford miss day work hypothetically,Negative,1
thing outlet ran story suggesting israel lied hamas using shifa hospital military hq show incentive disincentive used make journalism reliable nuked replaced attaboys whatever help home team win couple news cycle home team right weirdly undeniably hamas incentive journalism designed reporter could guide towards truth mostly bad bulk know much best still generalist also becomes subtly corrosive way saw trump convinced print partisan line telling truth last know see instead journalism supposed fact specifically supposed competitive industry incentive printing fact anyone else scoop mean see printing thing tell incentive structure broken definition chasing something else sometimes ok part workaday journalism box checking match someone else scoop except disincentive time print correction professionally mortifying thing imaginable like interpersonally friend pitied competitor sniggered journalism declined especially trump used sort trick take sting thing correction got downgraded editor note thing editor note got downgraded stealth edits simply making thing went along worked otherwise still supposed matter shifa hospital news cycle knew israeli would eventually publish evidence wrong everyone known decade hospital hamas operation center anyway stigma wrong gone long wrong right side,Positive,0
hearing friend gaza longer ceasefire israel cancelled,Neutral,1
hamas hezbollah lebanon yemen fired missile israel past week funny call israel overlook role hamas terrorist others fight israel right self defense like anyone,Negative,1
hundred palestinian israeli prison age tried israeli military court israel country routinely prosecute entire population child military court,Negative,1
bullshit israel acting purely according war law attacking legit target,Negative,0
israel want taken hostage hamas back whatever take including releasing higher number palestinian convicted attempted murderer medium prove value palestinian life highly intelligent,Neutral,-1
lot anger israel pm benjamin netanyahu ceasefire deal hamas many see total surrender hamas way different approach israel globally seen react terror provocation pressure netanyahu survival,Negative,0
terrible liar supported genocide gaza trying justify support lie baby killer israel israel nazi,Negative,1
yisrael chai since terrorist attack october baby born israel among name newborn baby nir oz eri named kibbutz massacre took place well three sweet girl named nova named music festival,Neutral,1
netanyahu statement also implies indirect threat america u support israeli occupation gaza strip israel would also work overthrow american hegemony region,Neutral,1
khan younis mass grave gaza palestine sometimes image sneak skin like erasing defense shield hurt gaza genocideenablers manage sleep night endtheoccupation palestine video anadoluagency,Neutral,1
israel pound gaza bbc journalist accuse broadcaster bias israel palestine conflict news al jazeera,Negative,1
israel gunning unarmed civilian forever,Neutral,1
southern gaza hundred thousand gazans fled bombed expelled north nothing ethnic cleansing israel rest gaza emptied people flattened ground,Neutral,1
palestinian simply innocent innately guilty potential terrorist neutralized human shield obliterated collateral damage number palestinian body move western government institution condemn israel,Negative,-1
benjamin netanyahu warned genocidal fury unleashed palestinian continue despite brief ceasefire set start week expected release hostage held israel gaza vivapalestinalibre,Negative,1
important ensure israel hamas war turn regional conflict pm modi via namo app,Neutral,1
israel able continue kill woman child gaza must first deal growing public outrage woman child held hostage people israel must starting see brutal far right apartheid regime pity eu,Negative,1
di k head barking dog haramzaday suur ki olad fkkk nnng father israel humanitarian work,Neutral,-1
former idf soldier explains supporting free palestine evil force running israel,Neutral,1
pleased uta dropped susan sarandon disgraceful remark regarding jewish people full backing palestine comment jew getting taste like muslim look like bloody nutcase well susansarandon,Positive,1
zionist view jewish people support palestine btw,Neutral,1
head israel national center forensic medicine year recall infernal damage baby young child without head without leg understand entire world grasp sheer cruelty situation video israelsstory,Negative,1
fact islamophobia anti arab hatred natural even considered official racism europe u air breathe seeing palestine gaza every man every woman child look like least potential family,Negative,1
know nation received financial assistance modern history perhaps europe maybe haiti earthquake afghanistan iraq syria african country wrong answer palestine,Neutral,1
hamas care palestine independence want establish islamist world order murder many jew possible dark reality islamism many pro palestine marcher want deny say daniel ben ami,Negative,1
griffith referring scale israel carnage gaza relative population size time syria population killed year israel killed gaza population week cambodia year genocide killed population per week,Negative,1
israel kill pregnant woman embryo gaza,Negative,1
breaking heated debate ensues andrew tate pier morgan regarding israel palestine conflict best part interview pier morgan maintains racist stance justifying abhorrent genocide conducted israeli innocent civilian gaza proven man without conviction shilling israeli government boss thank andrew previous guest continuing expose picture tristan background lighting cigar either looking pier disgust laughing like andrew,Neutral,-1
bringing back since apparently business firing actor controversial comment israel palestine,Neutral,1
make skynews israel releasing palestinian prisoner return hostage mean israel think life palestinian valued le israeli israeli government spokesman eylonalevy face priceless,Neutral,0
commission thattechcoyote,Neutral,-1
yahya sinwar leader hamas terrorist gaza orchestrated genocide october released prisoner exchange israel attempting free kidnapped child woman risking release individual committed crime much like sinwar roaming free street potentially able repeat action dangerous yet somewhat understandable move,Negative,0
fact check admits right biden immediately called israel retaliate hamas true defend biden quote expert anyway saying supportive israel even lie reality biden administration immediately called israel retaliate oct deleted tweet supported ceasefire next day deleted tweet constantly pushing humanitarian ceasefires allow hamas regroup oct reportedly told israeli preemptively defend hezbollah diplomatically tied biden presidential visit breaking israel siege gaza appeased iran forcefully retaliating attack allowing international arm embargo expire oct iran resupplying terrorist army missile providing ayatollah new billion line euro fund terrorist u military personnel ground blame israel west bank violence congress coordinating qatar insulate hamas washington dc expert say biden supportive israel people charge middle east diplomacy decade also explains got place iranian terrorist able launch worst one day mass murder jew since holocaust,Negative,0
popular demand miku hutcherson,Neutral,1
hamas burned civilian israel burned civilian tank helicopter attack hamas killed civilian died half israeli military hamas hit ambulance rpg israeli police car hamas beheaded baby never happened,Negative,1
difference treatment palestinian israeli hostage,Neutral,1
israel murdered exposing truth,Negative,1
susan surandon melissa berrera fired noah schnapp allowed keep job despite disgusting comment welcome hollywood,Negative,1
wonderful genocide palestine,Positive,-1
world take action israel,Neutral,0
end show theamazingdigitalcircus,Neutral,1
netanyahu treat israeli speak imagine palestinian,Neutral,1
irish couple took wedding palestine march may marriage filled happiness joy,Positive,1
wow missile way israel lebanon,Positive,0
israel using un school improvised military base detain interrogate torture palestinian israel arbitrarily kidnaps gazans everyday salah al din road move south idf also using un school shoot target hide,Negative,1
hope selfshipper friend know ur f o love love love whether ur romantic familial platonic f o think amazing u ever forget,Positive,1
land talking sinai israel never intended occupy israel doesnt want land,Neutral,0
